   step,          time,        volume,    temperature,  pressure,     ekinet,    epotential,    energy,      density
           43,  0.4300E-01,  0.8687E+04,  0.7533E+03, -0.4012E+05,  0.2078E+04, -0.1874E+04,  0.2046E+03,  0.1064E+01
           44,  0.4400E-01,  0.8686E+04,  0.6713E+03, -0.2376E+05,  0.1852E+04, -0.1619E+04,  0.2332E+03,  0.1064E+01
           45,  0.4500E-01,  0.8685E+04,  0.6405E+03,  0.4006E+04,  0.1767E+04, -0.1521E+04,  0.2457E+03,  0.1064E+01
           46,  0.4600E-01,  0.8683E+04,  0.7111E+03,  0.3146E+05,  0.1962E+04, -0.1740E+04,  0.2214E+03,  0.1065E+01
           47,  0.4700E-01,  0.8682E+04,  0.7689E+03,  0.4332E+05,  0.2121E+04, -0.1922E+04,  0.1990E+03,  0.1065E+01
           48,  0.4800E-01,  0.8682E+04,  0.7194E+03,  0.3190E+05,  0.1985E+04, -0.1770E+04,  0.2151E+03,  0.1065E+01
           49,  0.4900E-01,  0.8684E+04,  0.6431E+03,  0.4308E+04,  0.1774E+04, -0.1530E+04,  0.2441E+03,  0.1065E+01
           50,  0.5000E-01,  0.8686E+04,  0.6656E+03, -0.2385E+05,  0.1837E+04, -0.1598E+04,  0.2382E+03,  0.1064E+01
           51,  0.5100E-01,  0.8688E+04,  0.7494E+03, -0.4029E+05,  0.2067E+04, -0.1859E+04,  0.2080E+03,  0.1064E+01
           52,  0.5200E-01,  0.8688E+04,  0.7568E+03, -0.4059E+05,  0.2088E+04, -0.1884E+04,  0.2041E+03,  0.1064E+01
           53,  0.5300E-01,  0.8687E+04,  0.6768E+03, -0.2493E+05,  0.1867E+04, -0.1635E+04,  0.2324E+03,  0.1064E+01
           54,  0.5400E-01,  0.8685E+04,  0.6399E+03,  0.2476E+04,  0.1766E+04, -0.1518E+04,  0.2479E+03,  0.1064E+01
