  step,            time,            ax,            ay,            az,            bx,            by,            bz,            cx,            cy,            cz,             a,             b,             c
           27,  0.260000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           28,  0.270000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           29,  0.280000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           30,  0.290000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           31,  0.300000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           32,  0.310000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           33,  0.320000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           34,  0.330000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           35,  0.340000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           36,  0.350000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           37,  0.360000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           38,  0.370000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           39,  0.380000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           40,  0.390000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           41,  0.400000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           42,  0.410000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           43,  0.420000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           44,  0.430000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           45,  0.440000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           46,  0.450000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           47,  0.460000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           48,  0.470000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           49,  0.480000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           50,  0.490000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           51,  0.500000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           52,  0.510000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           53,  0.520000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
