       step,          time,       molecule,  site,   Z,  type,       mass,         charge,          x,             y,             z,             fx,            fy,            fz,            vx,            vy,            vz
              1,  0.900000E-02,       9,       1,    8, OCTIP3,  0.159994E+02, -0.834000E+00, -0.663467E+01, -0.100482E+02,  0.583362E+01, -0.184960E+02,  0.399920E+01, -0.160590E+02,  0.259409E+01,  0.972160E+01,  0.478119E+01
              1,  0.900000E-02,       9,       2,    1, HCTIP3,  0.100790E+01,  0.417000E+00, -0.681372E+01, -0.916848E+01,  0.621725E+01,  0.445231E+01,  0.256607E+01,  0.200317E+01,  0.440961E+01,  0.310829E+01,  0.152758E+02
              1,  0.900000E-02,       9,       3,    1, HCTIP3,  0.100790E+01,  0.417000E+00, -0.589694E+01, -0.103600E+02,  0.636325E+01,  0.189669E+02, -0.341054E+01,  0.113294E+02, -0.198322E+01, -0.497417E+01,  0.215757E+00
              1,  0.900000E-02,      10,       1,    8, OCTIP3,  0.159994E+02, -0.834000E+00, -0.597296E+01, -0.214799E+01,  0.103159E+02,  0.711235E+01, -0.108458E+02,  0.581433E+01,  0.646779E+01,  0.311576E+01,  0.296361E+01
              1,  0.900000E-02,      10,       2,    1, HCTIP3,  0.100790E+01,  0.417000E+00, -0.588429E+01, -0.140949E+01, -0.100743E+02, -0.384702E+01,  0.231957E+01,  0.179635E+01,  0.662951E+01, -0.110887E+02, -0.645842E+00
              1,  0.900000E-02,      10,       3,    1, HCTIP3,  0.100790E+01,  0.417000E+00, -0.654310E+01, -0.178109E+01,  0.962186E+01, -0.462928E+01,  0.540088E+01, -0.604484E+01,  0.335079E+01,  0.288096E+01,  0.144937E+02
              1,  0.900000E-02,      11,       1,    8, OCTIP3,  0.159994E+02, -0.834000E+00, -0.219210E+01,  0.469008E+00,  0.113687E+01,  0.146530E+02,  0.121069E+02,  0.651567E+01,  0.301939E+01,  0.360802E+01,  0.515948E+01
              1,  0.900000E-02,      11,       2,    1, HCTIP3,  0.100790E+01,  0.417000E+00, -0.157692E+01,  0.838191E+00,  0.462158E+00, -0.318000E+01, -0.197214E+01,  0.281303E+01,  0.513649E+01,  0.347984E+01,  0.894477E+01
              1,  0.900000E-02,      11,       3,    1, HCTIP3,  0.100790E+01,  0.417000E+00, -0.269376E+01, -0.111861E+00,  0.552894E+00, -0.714279E+01, -0.626055E+01, -0.978293E+01, -0.684942E+01,  0.229539E+00,  0.727991E+01
              1,  0.900000E-02,      12,       1,    8, OCTIP3,  0.159994E+02, -0.834000E+00,  0.279303E+01, -0.978426E+01, -0.888521E+01, -0.236372E+00, -0.307276E+02,  0.469114E+01,  0.244301E+01,  0.443289E+01,  0.906427E+01
              1,  0.900000E-02,      12,       2,    1, HCTIP3,  0.100790E+01,  0.417000E+00,  0.371720E+01, -0.100706E+02, -0.910225E+01, -0.250838E+01,  0.892457E+01, -0.121277E+01, -0.127363E+02,  0.343956E+01,  0.172923E+02
              1,  0.900000E-02,      12,       3,    1, HCTIP3,  0.100790E+01,  0.417000E+00,  0.248251E+01,  0.103808E+02, -0.846893E+01,  0.158655E+01,  0.208078E+02, -0.556386E+01, -0.199399E+01,  0.553201E+01, -0.101153E+01
              1,  0.900000E-02,      13,       1,    8, OCTIP3,  0.159994E+02, -0.834000E+00,  0.777783E+01,  0.521191E+01,  0.267927E+00,  0.850452E+01,  0.243165E+02, -0.108005E+02,  0.808528E+01,  0.522619E+01,  0.649685E+00
              1,  0.900000E-02,      13,       2,    1, HCTIP3,  0.100790E+01,  0.417000E+00,  0.796695E+01,  0.428671E+01,  0.123114E+00,  0.337442E+01, -0.216437E+02, -0.499165E+01,  0.233371E+02,  0.700589E+01,  0.201934E+01
              1,  0.900000E-02,      13,       3,    1, HCTIP3,  0.100790E+01,  0.417000E+00,  0.750905E+01,  0.513482E+01,  0.118850E+01, -0.107396E+02,  0.305634E+01,  0.145461E+02,  0.617884E+01, -0.215584E+01,  0.100833E+02
              1,  0.900000E-02,      14,       1,    8, OCTIP3,  0.159994E+02, -0.834000E+00, -0.558511E+01,  0.897450E+01, -0.248944E+00, -0.201134E+01,  0.174513E+02,  0.776273E+01,  0.321534E+01,  0.508393E+01,  0.632253E+01
              1,  0.900000E-02,      14,       2,    1, HCTIP3,  0.100790E+01,  0.417000E+00, -0.623696E+01,  0.829395E+01, -0.547029E+00, -0.331164E+01,  0.980697E+01, -0.201811E+01,  0.104874E+01,  0.427658E+00, -0.346161E-01
              1,  0.900000E-02,      14,       3,    1, HCTIP3,  0.100790E+01,  0.417000E+00, -0.609964E+01,  0.984320E+01, -0.304827E+00,  0.522310E+01, -0.256114E+02, -0.289732E+01,  0.482097E+01, -0.552603E+01,  0.282855E+01
              1,  0.900000E-02,      15,       1,    8, OCTIP3,  0.159994E+02, -0.834000E+00, -0.581352E+01,  0.128971E+01,  0.267623E+01, -0.217396E+02, -0.504486E+01, -0.115583E+02,  0.543676E+01,  0.690494E+01,  0.928513E+01
              1,  0.900000E-02,      15,       2,    1, HCTIP3,  0.100790E+01,  0.417000E+00, -0.529437E+01,  0.150216E+01,  0.345091E+01,  0.153078E+02,  0.109815E+01,  0.117516E+02,  0.505749E+01,  0.361798E+01,  0.485308E+01
              1,  0.900000E-02,      15,       3,    1, HCTIP3,  0.100790E+01,  0.417000E+00, -0.522203E+01,  0.151263E+01,  0.194195E+01,  0.513481E+01,  0.283514E+01,  0.438144E+00, -0.943667E+01,  0.139862E+02, -0.732847E+00
              1,  0.900000E-02,      16,       1,    8, OCTIP3,  0.159994E+02, -0.834000E+00, -0.309307E+00, -0.290188E+01, -0.244282E+01, -0.600836E+01, -0.122473E+02,  0.148985E+02,  0.603890E+01,  0.480952E+01,  0.822191E+01
              1,  0.900000E-02,      16,       2,    1, HCTIP3,  0.100790E+01,  0.417000E+00,  0.586026E-01, -0.201611E+01, -0.220709E+01, -0.287900E+01,  0.333683E+01, -0.144212E+02,  0.326467E+01,  0.175355E+01,  0.252218E+01
              1,  0.900000E-02,      16,       3,    1, HCTIP3,  0.100790E+01,  0.417000E+00, -0.407488E+00, -0.292605E+01, -0.341613E+01,  0.755891E+01,  0.928370E+01, -0.354753E+01, -0.689209E+01,  0.723377E+01,  0.518836E+01
